,beryl,allen,structure_id
0,ARH,ARH,223
1,AIp,AIp2/3,163
2,PB,PBle,875
3,ProS,ProSv-sp,484682500
4,RSPagl,RSPagl2/3,965
5,AIp,AIp6b,355
6,SO,SO,390
7,RT,RT,262
8,VCO,VCO,101
9,MOB,MOBopl,244
10,VISal,VISal1,1074
11,ORBl,ORBl2/3,412
12,SSp-m,SSp-m2/3,657
13,ENTm,ENTm6,743
14,LING,LINGpu,10706
15,NTS,NTSm,691
16,RSPv,RSPv5,687
17,SPF,SPFp,422
18,MOB,MOBipl,228
19,CA3,CA3so,486
20,CA3,CA3slu,479
21,AV,AV,255
22,SSp-m,SSp-m1,878
23,MOB,MOBmi,236
24,IGL,IGL,27
25,DG,DGlb-po,782
26,LA,LA,131
27,RSPd,RSPd2/3,434
28,SSs,SSs4,1035
29,SSp-bfd,SSp-bfd4,1047
30,MH,MH,483
31,ORBvl,ORBvl6b,680
32,SCm,SCiw,17
33,PERI,PERI6b,368
34,OP,OP,706
35,AUDpo,AUDpo1,696
36,VISp,VISp2/3,821
37,DMH,DMHp,676
38,MOp,MOp1,320
39,PB,PBlv,891
40,AT,AT,231
41,VISp,VISp5,778
42,ENTm,ENTm2a,468
43,BST,BSTov,554
44,MD,MDm,636
45,BST,BSTv,529
46,DEC,DECmo,10725
47,P5,P5,549009215
48,VTN,VTN,757
49,V,V,621
50,MOB,MOBgr,220
51,IPN,IPDL,607344858
52,FRP,FRP1,68
53,AUDd,AUDd2/3,600
54,SNc,SNc,374
55,AVP,AVP,263
56,AIp,AIp5,344
57,PL,PL5,363
58,CA2,CA2slm,431
59,SPVO,SPVOcdm,77
60,PMR,PMR,995
61,AUDd,AUDd4,678
62,ORBv,ORBv,738
63,PVHd,PVHf,447
64,EW,EW,975
65,PGRN,PGRNd,970
66,SBPV,SBPV,347
67,GPi,GPi,1031
68,PR,PR,1077
69,GU,GU1,36
70,PT,PT,15
71,Acs5,Acs5,549009219
72,ProS,ProSd-m,484682479
73,PAA,PAA2,416
74,ACAd,ACAd5,1015
75,IAD,IAD,1113
76,AUDd,VISlla1,480149234
77,RSPagl,VISmmp4,480149298
78,GU,GU5,187
79,VISpor,VISpor1,312782632
80,AUDd,AUDd6a,156
81,MOp,MOp6a,844
82,VISpm,VISpm2/3,41
83,CS,CSm,130
84,FOTU,FOTUpu,10727
85,FS,FS,998
86,IPN,IPI,607344850
87,FOTU,FOTUgr,10726
88,AId,AId1,996
89,Xi,Xi,560581559
90,PAR,PAR1,10693
91,DP,DP5,646
92,ORBvl,ORBvl5,1125
93,VISal,VISal6a,601
94,ENTl,ENTl1,1121
95,DP,DP6a,267
96,COAa,COAa2,200
97,I5,I5,549009227
98,VISpm,VISpm6b,469
99,IV,IV,115
100,BST,BSTdm,505
101,DG,DG-po,10704
102,AHN,AHNd,716
103,MEA,MEApd-b,480
104,PPY,PPYd,185
105,BMA,BMAp,334
106,PB,PBmv,923
107,AVPV,AVPV,272
108,PRE,PRE2,10700
109,CEA,CEAl,551
110,NLOT,NLOT1,260
111,PS,PS,1109
112,NDB,NDB,596
113,MPN,MPNc,740
114,COAp,COApl2,224
115,AIp,AIp6a,314
116,PRNr,PRNr,146
117,RPA,RPA,230
118,ENTm,ENTm1,526
119,MG,MGv,1079
120,SUM,SUMl,1110
121,LRN,LRNp,963
122,AUDd,VISlla6b,480149254
123,OT,OT3,473
124,PYR,PYRpu,10730
125,RSPagl,RSPagl6b,279
126,SF,SF,310
127,AON,AON2,168
128,PIL,PIL,560581563
129,VISal,VISal5,233
130,TTd,TTd4,1059
131,ENTm,ENTm5,727
132,VISam,VISam4,401
133,LPO,LPO,226
134,SSp-tr,SSp-tr6b,461
135,MPN,MPNl,748
136,CM,CM,599
137,CA2,CA2sr,454
138,VISli,VISli2/3,312782582
139,MOs,MOs6b,1085
140,IPN,IPRL,607344862
141,SPIV,SPIV,225
142,VISa,VISa6b,312782570
143,AId,AId2/3,328
144,COAp,COApl1-3,376
145,AOB,AOBgr,196
146,SSp-ul,SSp-ul6a,945
147,ECT,ECT6a,977
148,PERI,PERI5,692
149,TEa,TEa2/3,1127
150,PVHd,PVHlp,455
151,LRN,LRNm,955
152,SCH,SCH,286
153,ORBvl,ORBvl1,969
154,PIR,PIR1-3,152
155,RSPagl,VISmmp2/3,480149294
156,SSs,SSs6b,893
157,AUDp,AUDp6a,954
158,BST,BSTrh,562
159,PMd,PMd,980
160,VISam,VISam1,281
161,SCs,SCop,851
162,y,y,781
163,FOTU,FOTUmo,10728
164,CEA,CEAm,559
165,RSPd,RSPd6a,274
166,RSPagl,VISm6b,480149338
167,NTS,NTSce,659
168,MARN,MARN,307
169,GU,GU4,148
170,COAp,COApl1,216
171,MOp,MOp5,648
172,AId,AId6a,783
173,CA1,CA1so,399
174,CA3,CA3sr,504
175,ECU,ECU,903
176,TM,TMv,1
177,MG,MGm,1088
178,VISpl,VISpl6b,393
179,RH,RH,189
180,VISl,VISl6a,74
181,SSp-tr,SSp-tr4,1086
182,CL,CL,575
183,FRP,FRP2/3,667
184,PVHd,PVHdp,439
185,ORBl,ORBl6b,488
186,AON,AONd,167
187,TR,TR1-3,517
188,TR,TR3,1142
189,VISl,VISl2/3,973
190,DG,DG-sg,632
191,IC,ICc,811
192,PYR,PYRgr,10729
193,ANcr1,ANcr1gr,10675
194,PVH,PVHmm,79
195,BMA,BMAa,327
196,ENTl,ENTl6a,28
197,ENTl,ENTl2a,715
198,SSp-n,SSp-n4,654
199,PPT,PPT,1061
200,AIv,AIv1,704
201,PVa,PVa,30
202,PL,PL1,171
203,MS,MS,564
204,MOs,MOs2/3,962
205,CENT3,CENT3gr,10711
206,DG,DG-mo,10703
207,VLPO,VLPO,689
208,ORBvl,ORBvl6a,608
209,VISpl,VISpl2/3,269
210,VISpm,VISpm6a,257
211,SSp-n,SSp-n2/3,838
212,DTN,DTN,880
213,SSs,SSs1,873
214,ACAv,ACAv5,772
